Date,Ci Diversified Income B,FTSE/JSE ALB 1-3 Yr TR ZAR,FTSE/JSE ALB 3-7 Yr TR ZAR,FTSE/JSE ALB 7-12 Yr TR ZAR,FTSE/JSE ALB 12+ Yr TR ZAR
31/03/2014,0.0059707,0.0100777,0.0138136,0.0164772,0.0223086
30/04/2014,0.0090486,0.0057759,0.0085989,0.0058963,-0.0023783
31/05/2014,0.0072035,0.0068498,0.0142447,0.0158986,0.0090842
30/06/2014,0.0075438,0.0050335,0.0063044,0.0072515,0.0141051
31/07/2014,0.008777,0.0055654,0.0116598,0.0108383,0.0096403
31/08/2014,-0.0045058,0.0068695,0.0196698,0.0260946,0.036525
30/09/2014,0.004231,-0.0009608,-0.0110664,-0.018117,-0.0204639
31/10/2014,0.0069773,0.0168232,0.0263468,0.0358935,0.0423516
30/11/2014,0.0094013,0.0120347,0.0195307,0.0245177,0.0278771
31/12/2014,0.000098,-0.0044094,-0.01321,-0.0194456,-0.0166887
31/01/2015,0.020335,0.0188021,0.0401875,0.0666118,0.0955703
28/02/2015,-0.0008787,-0.0028052,-0.0134732,-0.0293445,-0.0428238
31/03/2015,0.005277,0.0019165,-0.0029823,-0.0052813,-0.0084568
30/04/2015,0.0058341,0.0035876,0.0006246,-0.0032159,-0.0110127
31/05/2015,0.0039324,0.0017642,-0.0031454,-0.0072378,-0.0135082
30/06/2015,0.0055817,0.0046709,0.0014729,-0.0017406,-0.0042768
31/07/2015,0.0106933,0.004912,0.0062992,0.0086638,0.0141583
31/08/2015,0.0059786,0.0061335,0.0049667,0.0013469,-0.0007409
30/09/2015,0.0087685,0.0064472,0.0039363,0.0004626,-0.004361
31/10/2015,0.0044335,0.0097233,0.0146534,0.0153611,0.0116196
30/11/2015,0.0061947,0.0001899,-0.004514,-0.0094459,-0.0140837
31/12/2015,0.0104564,-0.0147212,-0.0370528,-0.0636755,-0.085451
31/01/2016,0.0052222,0.0172262,0.0285568,0.043717,0.0577186
29/02/2016,0.0047983,0.0019123,-0.0008627,-0.0050332,-0.0118588
31/03/2016,0.0075041,0.0128092,0.0223249,0.0272621,0.0301955
30/04/2016,0.0064816,0.009928,0.0137858,0.0161246,0.0226396
31/05/2016,0.010961,0.003329,-0.0064349,-0.0177202,-0.0200622
30/06/2016,0.0058083,0.0150881,0.0307417,0.0432655,0.0473449
31/07/2016,0.0041631,0.0075126,0.0136523,0.0186424,0.0280279
31/08/2016,0.01063,0.0010156,-0.0060153,-0.0162065,-0.021397
30/09/2016,0.0086847,0.0134736,0.0211982,0.0294786,0.0335766
31/10/2016,0.0047604,0.0050101,0.0047977,0.0053225,0.0073048
30/11/2016,0.0046693,0.0015211,-0.0060896,-0.0127432,-0.0248331
31/12/2016,0.0062936,0.0075643,0.011838,0.0142958,0.0173199
31/01/2017,0.0070737,0.008249,0.0119983,0.0130423,0.0142731
28/02/2017,0.0054469,0.010834,0.0129207,0.0088417,0.0049018
31/03/2017,0.0085131,0.0067294,0.0082316,0.0042239,0.0027202
30/04/2017,0.0057972,0.0098974,0.013386,0.0153185,0.0144511
31/05/2017,0.0082532,0.0071726,0.0109548,0.0142935,0.009425
30/06/2017,0.0045262,0.0031193,-0.0001188,-0.0055611,-0.0140302
31/07/2017,0.0092067,0.0122898,0.0148354,0.0176496,0.0146774
31/08/2017,0.0078374,0.0082016,0.0103514,0.0099353,0.0105971
30/09/2017,0.0107527,0.0058434,0.0051091,0.0078994,0.0137747
31/10/2017,0.0057592,-0.0018256,-0.0121699,-0.0241191,-0.0272551
30/11/2017,0.003759,0.0000249,-0.0038105,-0.0071452,-0.0121223
31/12/2017,0.0061456,0.0220243,0.0361579,0.0527357,0.0643563
31/01/2018,0.0054672,0.0103646,0.0126723,0.0150119,0.0213072
28/02/2018,0.0104439,0.0112591,0.0155012,0.0293594,0.0501564
31/03/2018,0.0088985,0.0043189,0.0089065,0.0162782,0.0258799
30/04/2018,0.0065477,-0.0000411,-0.0039498,-0.0050841,-0.0090191
31/05/2018,0.0058956,-0.0002982,-0.0051214,-0.0146469,-0.025415
30/06/2018,0.0068441,0.0030351,-0.0033981,-0.0097434,-0.0152241
31/07/2018,0.0045369,0.009166,0.0130487,0.0233632,0.0275515
31/08/2018,0.0139232,0.0016786,-0.0061509,-0.0159149,-0.023479
30/09/2018,0.0007276,0.0076369,0.0082805,0.0058086,0.0007272
31/10/2018,0.005614,0.0128941,-0.0025433,-0.0146813,-0.0231788
30/11/2018,0.0034574,0.0177329,0.0227723,0.0330302,0.0445734
31/12/2018,0.0117933,0.0102052,0.011504,0.009761,0.0040249
31/01/2019,0.0065547,0.0066663,0.0191852,0.0252235,0.0331616
28/02/2019,0.0096364,0.0040831,0.0043567,-0.0006534,-0.0078432
31/03/2019,0.0069571,0.0077913,0.0094959,0.0126496,0.0146051
30/04/2019,0.0080047,0.0082836,0.0076603,0.0096502,0.0061534
31/05/2019,0.0074128,0.0087951,0.0107992,0.0087917,0.004142
30/06/2019,0.0051066,0.0092675,0.0195014,0.0270482,0.0218226
31/07/2019,0.0064267,0.0005343,-0.0004787,-0.0043612,-0.0108922
